data_file,variable_name,variable_type,description
meter/meter_files/*.csv,text,string,‘iliad’ or ‘odyssey’
meter/meter_files/*.csv,book,int,"any integer in the range [1, 24]"
meter/meter_files/*.csv,line,int,any integer within the range of lines for the given book
meter/meter_files/*.csv,meter,string,"six letter code representing the meter of a line, where ‘D’ = dactyl, ‘S’=spondee, and ‘A’=anceps; example: DSDDDA"
meter/meter_files/*.csv,first_hemistich,string,Greek text of the first hemistich of the line
meter/meter_files/*.csv,second_hemistich,string,Greek text of the second hemistich of the line
bigram_frequencies.csv,index,int,automatic pandas index
bigram_frequencies.csv,W1,string,first word in the bigram
bigram_frequencies.csv,W2,string,second word in the bigram
bigram_frequencies.csv,count,int,number of times bigram appears in corpus
bigram_frequencies.csv,forward_freq,float,frequency with which W2 follows W1 in corpus
bigram_frequencies.csv,backward_freq,float,frequency with which W2 is preceded by W1 in corpus
bigram_expectancies.csv,index,int,automatic pandas index
bigram_expectancies.csv,W1,string,first word in the bigram
bigram_expectancies.csv,W2,string,second word in the bigram
bigram_expectancies.csv,count,int,number of times bigram appears in corpus
bigram_expectancies.csv,forward_freq,float,frequency with which W2 follows W1 in corpus
bigram_expectancies.csv,backward_freq,float,frequency with which W2 is preceded by W1 in corpus
bigram_expectancies.csv,me,float,mutual expectancy of bigram
book_counts.csv,index,int,automatic pandas index
book_counts.csv,text,string,‘iliad’ or ‘odyssey’
book_counts.csv,book,int,"any integer in the range [1, 24]"
book_counts.csv,total_lines,int,number of lines in a particular book
book_counts.csv,unique_lines,int,number of unique lines in a particular book
book_counts.csv,per_unique_lines,float,"(unique_lines / total_lines) * 100, rounded"
book_counts.csv,total_words,int,number of words in a particular book
book_counts.csv,unique_words,int,number of unique words in a particular book
book_counts.csv,per_unique_words,float,"(unique_words / total_words) *100, rounded"
counted_words.csv,index,int,automatic pandas index
counted_words.csv,total_words,int,total number of words in corpus
counted_words.csv,unique_words,int,total number of unique words in corpus
counted_words.csv,iliad_total_words,int,number of words in the Iliad
counted_words.csv,iliad_unique_words,int,number of unique words in the Iliad
counted_words.csv,odyssey_total_words,int,number of words in the Odyssey
counted_words.csv,odyssey_unique_words,int,number of unique words in the Odyssey
hapax locations.csv,index,int,automatic pandas index
hapax locations.csv,word,string,hapax legomenon
hapax locations.csv,text,string,‘iliad’ or ‘odyssey’
