スキル,上昇量
さいだいHP:S,70.0
さいだいHP:A,50.0
さいだいHP:B,35.0
さいだいHP:C,20.0
さいだいHP:D,10.0
さいだいMP:S,40.0
さいだいMP:A,27.0
さいだいMP:B,17.0
さいだいMP:C,10.0
さいだいMP:D,5.0
こうげき力:S,30.0
こうげき力:A,20.0
こうげき力:B,13.0
こうげき力:C,8.0
こうげき力:D,4.0
しゅび力:S,50.0
しゅび力:A,35.0
しゅび力:B,25.0
しゅび力:C,15.0
しゅび力:D,7.0
こうげき魔力:S,30.0
こうげき魔力:A,20.0
こうげき魔力:B,13.0
こうげき魔力:C,8.0
こうげき魔力:D,4.0
かいふく魔力:S,30.0
かいふく魔力:A,20.0
かいふく魔力:B,13.0
かいふく魔力:C,8.0
かいふく魔力:D,4.0
きようさ:S,30.0
きようさ:A,20.0
きようさ:B,13.0
きようさ:C,8.0
きようさ:D,4.0
すばやさ:S,50.0
すばやさ:A,35.0
すばやさ:B,25.0
すばやさ:C,15.0
すばやさ:D,7.0
会心率:S,0.07
会心率:A,0.05
会心率:B,0.03
会心率:C,0.02
会心率:D,0.01
暴走率:S,0.07
暴走率:A,0.05
暴走率:B,0.03
暴走率:C,0.02
暴走率:D,0.01
ガード率:S,0.07
ガード率:A,0.05
ガード率:B,0.03
ガード率:C,0.02
ガード率:D,0.01
みかわし率:S,0.07
みかわし率:A,0.05
みかわし率:B,0.03
みかわし率:C,0.02
みかわし率:D,0.01
メラ・斬体:S,0.15
メラ・斬体:A,0.1
メラ・斬体:B,0.07
メラ・斬体:C,0.04
メラ・斬体:D,0.02
ギラ・斬体:S,0.15
ギラ・斬体:A,0.1
ギラ・斬体:B,0.07
ギラ・斬体:C,0.04
ギラ・斬体:D,0.02
デイン・斬体:S,0.15
デイン・斬体:A,0.1
デイン・斬体:B,0.07
デイン・斬体:C,0.04
デイン・斬体:D,0.02
イオ・斬体:S,0.15
イオ・斬体:A,0.1
イオ・斬体:B,0.07
イオ・斬体:C,0.04
イオ・斬体:D,0.02
ヒャド・斬体:S,0.15
ヒャド・斬体:A,0.1
ヒャド・斬体:B,0.07
ヒャド・斬体:C,0.04
ヒャド・斬体:D,0.02
バギ・斬体:S,0.15
バギ・斬体:A,0.1
バギ・斬体:B,0.07
バギ・斬体:C,0.04
バギ・斬体:D,0.02
ドルマ・斬体:S,0.15
ドルマ・斬体:A,0.1
ドルマ・斬体:B,0.07
ドルマ・斬体:C,0.04
ドルマ・斬体:D,0.02
ジバリア・斬体:S,0.15
ジバリア・斬体:A,0.1
ジバリア・斬体:B,0.07
ジバリア・斬体:C,0.04
ジバリア・斬体:D,0.02
メラ・呪文:S,0.15
メラ・呪文:A,0.1
メラ・呪文:B,0.07
メラ・呪文:C,0.04
メラ・呪文:D,0.02
ギラ・呪文:S,0.15
ギラ・呪文:A,0.1
ギラ・呪文:B,0.07
ギラ・呪文:C,0.04
ギラ・呪文:D,0.02
デイン・呪文:S,0.15
デイン・呪文:A,0.1
デイン・呪文:B,0.07
デイン・呪文:C,0.04
デイン・呪文:D,0.02
イオ・呪文:S,0.15
イオ・呪文:A,0.1
イオ・呪文:B,0.07
イオ・呪文:C,0.04
イオ・呪文:D,0.02
ヒャド・呪文:S,0.15
ヒャド・呪文:A,0.1
ヒャド・呪文:B,0.07
ヒャド・呪文:C,0.04
ヒャド・呪文:D,0.02
バギ・呪文:S,0.15
バギ・呪文:A,0.1
バギ・呪文:B,0.07
バギ・呪文:C,0.04
バギ・呪文:D,0.02
ドルマ・呪文:S,0.15
ドルマ・呪文:A,0.1
ドルマ・呪文:B,0.07
ドルマ・呪文:C,0.04
ドルマ・呪文:D,0.02
ジバリア・呪文:S,0.15
ジバリア・呪文:A,0.1
ジバリア・呪文:B,0.07
ジバリア・呪文:C,0.04
ジバリア・呪文:D,0.02
メラ・ブレス:S,0.15
メラ・ブレス:A,0.1
メラ・ブレス:B,0.07
メラ・ブレス:C,0.04
メラ・ブレス:D,0.02
ギラ・ブレス:S,0.15
ギラ・ブレス:A,0.1
ギラ・ブレス:B,0.07
ギラ・ブレス:C,0.04
ギラ・ブレス:D,0.02
デイン・ブレス:S,0.15
デイン・ブレス:A,0.1
デイン・ブレス:B,0.07
デイン・ブレス:C,0.04
デイン・ブレス:D,0.02
イオ・ブレス:S,0.15
イオ・ブレス:A,0.1
イオ・ブレス:B,0.07
イオ・ブレス:C,0.04
イオ・ブレス:D,0.02
ヒャド・ブレス:S,0.15
ヒャド・ブレス:A,0.1
ヒャド・ブレス:B,0.07
ヒャド・ブレス:C,0.04
ヒャド・ブレス:D,0.02
バギ・ブレス:S,0.15
バギ・ブレス:A,0.1
バギ・ブレス:B,0.07
バギ・ブレス:C,0.04
バギ・ブレス:D,0.02
ドルマ・ブレス:S,0.15
ドルマ・ブレス:A,0.1
ドルマ・ブレス:B,0.07
ドルマ・ブレス:C,0.04
ドルマ・ブレス:D,0.02
ジバリア・ブレス:S,0.15
ジバリア・ブレス:A,0.1
ジバリア・ブレス:B,0.07
ジバリア・ブレス:C,0.04
ジバリア・ブレス:D,0.02
メラ・全:S,0.1
メラ・全:A,0.07
メラ・全:B,0.04
メラ・全:C,0.02
メラ・全:D,0.01
イオ・全:S,0.1
イオ・全:A,0.07
イオ・全:B,0.04
イオ・全:C,0.02
イオ・全:D,0.01
